topic_bucket,symbol,timing_regime,event_count,median_ret_60m,median_abs_ret_60m,mean_abs_ret_60m_slot_percentile,median_peak_abs_ret_24h,reversion_rate_5d,median_reversion_minutes_after_first_trade,median_reversion_minutes_from_event
fed_inflation_rates,GLD,immediate,46,7.08678678885688e-05,0.001696297825338866,0.53425854309824,0.012101577916543982,0.5869565217391305,1415.0,1419.0
fed_inflation_rates,QQQ,immediate,46,-0.00033814707821178125,0.001322994577975023,0.5054740329035899,0.010731276903774067,0.6956521739130435,2762.5,2763.5
fed_inflation_rates,SLV,immediate,46,-0.00030451011564247565,0.003971382913854293,0.536796177069056,0.019041624146925007,0.4782608695652174,1275.0,1275.5
fed_inflation_rates,SPY,immediate,46,-0.00021285608423782243,0.0011246996100329198,0.5248063966323293,0.008121306934010752,0.7608695652173914,2640.0,2641.0
fed_inflation_rates,UNG,immediate,46,-0.0012093949741703858,0.00524077376869253,0.5854926489398309,0.030990809181093093,0.7391304347826086,1532.5,1536.0
fed_inflation_rates,USO,immediate,46,0.0003267178524347658,0.001978428441774205,0.4758454624212682,0.016416903690383733,0.6739130434782609,1305.0,1305.0
fed_inflation_rates,GLD,delayed,12,-0.0022690804532345954,0.006786966451156395,0.861384335154827,0.01770141772628242,0.4166666666666667,4510.0,5586.0
fed_inflation_rates,QQQ,delayed,12,-0.0031193284936480437,0.0031193284936480437,0.7414389799635702,0.010505023674175662,0.5833333333333334,430.0,1894.0
fed_inflation_rates,SLV,delayed,12,0.001941180162431777,0.02035928143712573,0.9336065573770492,0.03921119275931051,0.25,905.0,1302.0
fed_inflation_rates,SPY,delayed,12,-0.0031856187944933056,0.0031856187944933056,0.9448998178506375,0.008116431753446118,0.5833333333333334,4680.0,5178.0
fed_inflation_rates,UNG,delayed,12,0.02160664819944591,0.02160664819944591,0.9395264116575591,0.037673130193905835,0.4166666666666667,3210.0,3629.0
fed_inflation_rates,USO,delayed,12,0.007760397720383283,0.007760397720383283,0.7896838628013955,0.02512804638244004,0.6666666666666666,1447.5,1968.0
immigration_border,GLD,immediate,84,0.000406299323248982,0.0015956569853776692,0.5464263661962788,0.010398594557935958,0.7142857142857143,1685.0,1685.5
immigration_border,QQQ,immediate,84,0.0006793915444426313,0.0014104259057358126,0.5529804474096726,0.010096667888863708,0.6904761904761905,2400.0,2403.5
immigration_border,SLV,immediate,84,0.0011449988976262038,0.002073471458095222,0.49836308555102393,0.012845456666536359,0.7619047619047619,1737.5,1740.0
immigration_border,SPY,immediate,84,0.0005230234706466996,0.0012514294990362274,0.5448222111910335,0.008052859004487156,0.6785714285714286,1555.0,1557.0
immigration_border,UNG,immediate,84,0.0002992220227407971,0.0034367147159364286,0.4980351811103339,0.026799691114171964,0.7976190476190477,1690.0,1691.0
immigration_border,USO,immediate,84,0.000600192833038804,0.00221740989036584,0.5209651884388693,0.016607211630029595,0.7261904761904762,2620.0,2621.0
immigration_border,GLD,delayed,43,0.00208222912092082,0.006812164211716931,0.9672131147540983,0.017055798652144682,0.46511627906976744,1442.5,2746.0
immigration_border,QQQ,delayed,43,-0.00010961707103196439,0.003934529430280165,0.9016393442622951,0.010974973462154147,0.7441860465116279,1712.5,3271.5
immigration_border,SLV,delayed,43,0.005171889260724205,0.00916590284142993,0.9836065573770492,0.023658395845354896,0.5581395348837209,1475.0,3463.5
immigration_border,SPY,delayed,43,0.000524804291732961,0.00300815771583951,1.0,0.008944480708501734,0.627906976744186,1860.0,3957.0
immigration_border,UNG,delayed,43,-0.0049365303244005565,0.020757020757020683,0.9836065573770492,0.05352986811481775,0.4418604651162791,2900.0,3640.0
immigration_border,USO,delayed,43,-0.0019572207465399227,0.007642393655371338,0.9672131147540983,0.01980198019801982,0.6744186046511628,1665.0,3994.0
domestic_politics_attacks,GLD,immediate,96,0.0002506478331472106,0.0008820828170918449,0.4289265305988325,0.009249458605730565,0.625,1635.0,1636.0
domestic_politics_attacks,QQQ,immediate,96,0.0003780336243537352,0.001335916756015909,0.49605036249132944,0.010999389311446284,0.6354166666666666,2400.0,2401.0
domestic_politics_attacks,SLV,immediate,96,0.0005821623293271738,0.0020186157348418554,0.48237563783901355,0.018716106298704127,0.625,1897.5,1899.5
domestic_politics_attacks,SPY,immediate,96,0.0001849993789115878,0.0009018701010133356,0.4859093295743984,0.007765358505226083,0.6041666666666666,2525.0,2526.0
domestic_politics_attacks,UNG,immediate,96,-0.0008351129315324335,0.004599298617532277,0.524782245024504,0.026888340916336517,0.75,1522.5,1524.5
domestic_politics_attacks,USO,immediate,96,-0.0002634902275517881,0.002565304749601316,0.5205443402743305,0.014755381644055598,0.71875,2245.0,2249.0
domestic_politics_attacks,GLD,delayed,109,0.0019782922525797275,0.005417031785230675,1.0,0.013356766256590547,0.5963302752293578,1540.0,2375.0
