threshold_label,min_entry_abs_ret_slot_percentile,futures_symbol,entry_window_minutes,stop_units,time_stop_hours,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,target_rate,stop_rate,time_stop_rate,median_hold_minutes,median_entry_abs_return,median_entry_abs_ret_slot_percentile,median_event_to_entry_minutes,median_anchor_delay_minutes,median_risk_distance_abs_return,median_reward_to_target_r,median_max_adverse_units,median_max_favorable_units,weekend_trade_share
p80,0.8,CL,60,0.75,12,731,0.5800273597811217,0.12991452991452818,0.16332590759477514,119.39123845178062,1.440937262098192,0.3447332421340629,0.35704514363885087,0.2982216142270862,275.0,0.013895781637716986,0.9649122807017544,999.0,939.0,0.010421836228287752,1.3333333333333333,0.48663101604277775,0.743589743589744,0.5718194254445964
p80,0.8,CL,60,0.75,24,730,0.5315068493150685,0.3487179487179517,0.1391455266792151,101.57623447582702,1.3236722241012133,0.36575342465753424,0.42054794520547945,0.2136986301369863,275.0,0.013895781637716986,0.9649122807017544,1001.5,941.5,0.010421836228287752,1.3333333333333333,0.5000000000000111,0.8000000000000022,0.5726027397260274
p80,0.8,CL,60,1.0,12,731,0.6320109439124487,0.1555555555555516,0.1311403842167015,95.8636208624088,1.4320255630651344,0.3748290013679891,0.2763337893296854,0.3488372093023256,290.0,0.013895781637716986,0.9649122807017544,999.0,939.0,0.013895781637717002,1.0,0.48663101604277775,0.7980392156862741,0.5718194254445964
p80,0.8,CL,60,1.0,24,730,0.584931506849315,0.2994652406417117,0.1098635195004179,80.20036923530506,1.3024629266828498,0.410958904109589,0.32054794520547947,0.2684931506849315,290.0,0.013895781637716986,0.9649122807017544,1001.5,941.5,0.013895781637717002,1.0,0.5000000000000111,0.8472461273666125,0.5726027397260274
p80,0.8,CL,90,0.75,12,649,0.5269645608628659,0.08523592085235937,0.006976618276935421,4.527825261731088,1.0166396344221573,0.24191063174114022,0.3898305084745763,0.3682588597842835,260.0,0.015506856337305974,0.9649122807017544,1012.0,922.0,0.011630142252979562,1.3333333333333333,0.4628099173553762,0.7193932827735646,0.5454545454545454
p80,0.8,CL,90,0.75,24,648,0.49228395061728397,-0.21176470588234947,-0.013606780906251321,-8.817194027250856,0.9725132625080348,0.26697530864197533,0.4691358024691358,0.2638888888888889,260.0,0.015506856337305974,0.9649122807017544,1012.0,922.0,0.011630142252979562,1.3333333333333333,0.7030529953916871,0.8110091743119265,0.5462962962962963
p80,0.8,CL,90,1.0,12,649,0.6348228043143297,0.14146341463414266,0.15041877301471246,97.62178368654838,1.5526389811266668,0.3420647149460709,0.23882896764252695,0.41910631741140214,280.0,0.015506856337305974,0.9649122807017544,1012.0,922.0,0.015506856337306084,1.0,0.4628099173553762,0.7560975609756094,0.5454545454545454
p80,0.8,CL,90,1.0,24,648,0.6157407407407407,0.4272727272727257,0.130665489072731,84.6712369191297,1.370686312003015,0.3888888888888889,0.27469135802469136,0.33641975308641975,280.0,0.015506856337305974,0.9649122807017544,1012.0,922.0,0.015506856337306084,1.0,0.7030529953916871,0.864197530864181,0.5462962962962963
p80,0.8,MES,30,0.75,12,1117,0.5058191584601611,0.12544802867380545,0.2008862866504739,224.38998218857932,1.4639680298528996,0.4655326768128917,0.40644583706356313,0.12802148612354522,295.0,0.004100487037439926,0.9830508474576272,1075.0,1045.0,0.0030753652780800248,1.3333333333333333,0.6078184110970982,0.9530026109660413,0.5980304386750224
p80,0.8,MES,30,0.75,24,1117,0.5147717099373321,0.3620071684587865,0.20372093210492426,227.5562811612004,1.4618740313158745,0.4655326768128917,0.4341987466427932,0.10026857654431513,295.0,0.004100487037439926,0.9830508474576272,1075.0,1045.0,0.0030753652780800248,1.3333333333333333,0.6454545454544618,0.9530026109660413,0.5980304386750224
