threshold_label,min_entry_abs_ret_slot_percentile,futures_symbol,event_day_bucket,entry_window_minutes,stop_units,time_stop_hours,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,target_rate,stop_rate,time_stop_rate,median_hold_minutes,median_entry_abs_return,median_entry_abs_ret_slot_percentile,median_event_to_entry_minutes,median_anchor_delay_minutes,median_risk_distance_abs_return,median_reward_to_target_r,median_max_adverse_units,median_max_favorable_units,weekend_trade_share
p80,0.8,MES,weekend,30,1.0,12,668,0.5134730538922155,0.09408602150535408,0.0921105499099167,61.52984733982436,1.2399361328727594,0.46407185628742514,0.33532934131736525,0.20059880239520958,330.0,0.004864801825966714,1.0,1855.0,1825.0,0.004864801825966644,1.0,0.5999999999999536,0.9417186967873676,1.0
p80,0.8,MES,weekend,30,1.0,24,668,0.5449101796407185,0.42072630646590037,0.1091764689734717,72.9298812742791,1.2867016636202486,0.46407185628742514,0.3502994011976048,0.18562874251497005,330.0,0.004864801825966714,1.0,1855.0,1825.0,0.004864801825966644,1.0,0.6078184110970982,0.9417186967873676,1.0
p80,0.8,MES,weekend,60,0.75,12,642,0.4719626168224299,-0.061762034514062016,0.11565923484394774,74.25322876981446,1.2570728675473792,0.40498442367601245,0.4252336448598131,0.16978193146417445,305.0,0.004923072282951635,1.0,1904.0,1844.0,0.003692304212213767,1.3333333333333333,0.5776566757493086,0.8681055155875396,1.0
p80,0.8,MES,weekend,60,0.75,24,642,0.4719626168224299,0.0,0.119297492275899,76.58899004112716,1.2586042561238087,0.40498442367601245,0.4252336448598131,0.16978193146417445,305.0,0.004923072282951635,1.0,1904.0,1844.0,0.003692304212213767,1.3333333333333333,0.6333333333333317,0.8681055155875396,1.0
p80,0.8,MES,weekend,60,1.0,12,642,0.5295950155763239,0.21041214750542828,0.1123094089087314,72.10264051940555,1.3039507604776,0.46261682242990654,0.32398753894080995,0.21339563862928349,350.0,0.004923072282951635,1.0,1904.0,1844.0,0.004923072282951689,1.0,0.5776566757493086,0.941767546007969,1.0
p80,0.8,MES,weekend,60,1.0,24,642,0.5467289719626168,0.3860911270983284,0.13277276139482724,85.2401128154791,1.3672034860726756,0.46261682242990654,0.32398753894080995,0.21339563862928349,350.0,0.004923072282951635,1.0,1904.0,1844.0,0.004923072282951689,1.0,0.6333333333333317,0.941767546007969,1.0
p80,0.8,MES,weekend,90,0.75,12,595,0.4907563025210084,-0.1132719208461334,0.07842684038082878,46.66397002659313,1.169443578987864,0.38487394957983195,0.4319327731092437,0.18319327731092436,280.0,0.005470315493864231,0.9661016949152542,1905.0,1815.0,0.0041027366203981435,1.3333333333333333,0.6452830188679085,0.8563968668407402,1.0
p80,0.8,MES,weekend,90,0.75,24,595,0.4907563025210084,-0.2266288951841463,0.0964734523178358,57.401704129112304,1.2025821505286487,0.38487394957983195,0.44873949579831934,0.16638655462184873,280.0,0.005470315493864231,0.9661016949152542,1905.0,1815.0,0.0041027366203981435,1.3333333333333333,0.7081081081080904,0.8563968668407402,1.0
p80,0.8,MES,weekend,90,1.0,12,595,0.5294117647058824,0.06993006993008458,0.043514946934574944,25.891393426072092,1.1084896679703091,0.4235294117647059,0.346218487394958,0.23025210084033612,280.0,0.005470315493864231,0.9661016949152542,1905.0,1815.0,0.005470315493864191,1.0,0.6452830188679085,0.9019999999999981,1.0
p80,0.8,MES,weekend,90,1.0,24,595,0.5478991596638656,0.21911421911422788,0.07551003170295681,44.9284688632593,1.1917506895300525,0.4235294117647059,0.346218487394958,0.23025210084033612,280.0,0.005470315493864231,0.9661016949152542,1905.0,1815.0,0.005470315493864191,1.0,0.7081081081080904,0.9019999999999981,1.0
p80,0.8,MNQ,weekday,30,0.75,12,437,0.5491990846681922,1.3333333333333333,0.2999531568564894,131.07952954628587,1.6999310248801112,0.5446224256292906,0.41647597254004576,0.038901601830663615,210.0,0.004440383443942264,0.9830508474576272,420.0,390.0,0.0033302875829567366,1.3333333333333333,0.5294117647058902,1.030769230769202,0.0
p80,0.8,MNQ,weekday,30,0.75,24,437,0.5583524027459954,1.3333333333333333,0.30494626355736093,133.26151717456673,1.7175755875618652,0.5446224256292906,0.41647597254004576,0.038901601830663615,210.0,0.004440383443942264,0.9830508474576272,420.0,390.0,0.0033302875829567366,1.3333333333333333,0.5294117647058902,1.030769230769202,0.0
p80,0.8,MNQ,weekday,30,1.0,12,437,0.6681922196796338,1.0,0.3713224065195988,162.26789164906467,2.2628053089812568,0.6636155606407322,0.2723112128146453,0.06407322654462243,210.0,0.004440383443942264,0.9830508474576272,420.0,390.0,0.004440383443942315,1.0,0.5294117647058902,1.0601092896174962,0.0
