threshold_label,min_entry_abs_ret_slot_percentile,futures_symbol,entry_window_minutes,stop_units,time_stop_hours,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,target_rate,stop_rate,time_stop_rate,median_hold_minutes,median_entry_abs_return,median_entry_abs_ret_slot_percentile,median_event_to_entry_minutes,median_anchor_delay_minutes,median_risk_distance_abs_return,median_reward_to_target_r,median_max_adverse_units,median_max_favorable_units,weekend_trade_share,ranking_bucket
p80,0.8,MNQ,90,1.0,12,1013,0.702862783810464,1.0,0.4211707639935018,426.6459839254173,2.7020826893326433,0.6623889437314906,0.2102665350444225,0.12734452122408688,150.0,0.006214357439230156,0.9538461538461539,1131.0,1041.0,0.006214357439230191,1.0,0.5,1.0503355704698008,0.6031589338598223,best
p90,0.9,MNQ,60,1.0,12,847,0.6835891381345927,1.0,0.42091924368017664,356.5185993971096,2.732711176891203,0.6611570247933884,0.21251475796930341,0.12632821723730814,185.0,0.00723619389123098,1.0,1209.0,1149.0,0.00723619389123099,1.0,0.45275805570726624,1.0517015706806296,0.6458087367178277,best
p90,0.9,MNQ,30,1.0,12,1002,0.689620758483034,1.0,0.420362057295731,421.2027814103225,2.635524252353857,0.6746506986027944,0.2275449101796407,0.09780439121756487,215.0,0.0060735851706219535,1.0,1175.5,1145.5,0.006073585170621968,1.0,0.5857359635811829,1.0435097897026848,0.6467065868263473,best
p80,0.8,MNQ,30,1.0,12,1112,0.6879496402877698,1.0,0.41295214155604537,459.2027814103225,2.5643948872298674,0.6744604316546763,0.23741007194244604,0.08812949640287769,210.0,0.005874673629242766,0.9833287024173382,1089.5,1059.5,0.005874673629242857,1.0,0.5857359635811829,1.0435097897026848,0.6070143884892086,best
p80,0.8,MNQ,90,0.75,24,1013,0.6051332675222113,1.3333333333333333,0.40717866831901034,412.4719910071575,2.0958465727125435,0.5695952615992103,0.34945705824284307,0.08094768015794669,150.0,0.006214357439230156,0.9538461538461539,1131.0,1041.0,0.004660768079422643,1.3333333333333333,0.5,1.0252100840336382,0.6031589338598223,best
p90,0.9,MNQ,90,1.0,24,746,0.6836461126005362,1.0,0.40100166693443795,299.1472435330907,2.5948911136441035,0.631367292225201,0.2131367292225201,0.1554959785522788,150.0,0.008108256177066675,0.9661016949152542,1125.5,1035.5,0.008108256177066675,1.0,0.45588771418151675,1.0503355704698008,0.6152815013404825,best
p80,0.8,MNQ,90,0.75,12,1013,0.5972359328726555,1.3333333333333333,0.3853213102521476,390.33048728542553,2.0141697424870877,0.5695952615992103,0.34945705824284307,0.08094768015794669,150.0,0.006214357439230156,0.9538461538461539,1131.0,1041.0,0.004660768079422643,1.3333333333333333,0.5,1.0252100840336382,0.6031589338598223,best
p90,0.9,MNQ,90,1.0,12,746,0.6689008042895442,1.0,0.35877477737991637,267.6459839254176,2.360950041322759,0.613941018766756,0.2131367292225201,0.17292225201072386,150.0,0.008108256177066675,0.9661016949152542,1125.5,1035.5,0.008108256177066675,1.0,0.45588771418151675,1.0398481973434606,0.6152815013404825,best
p90,0.9,MNQ,90,0.75,24,746,0.5750670241286864,1.3333333333333333,0.335306511627112,250.13865767382555,1.852564016109442,0.5268096514745308,0.3632707774798928,0.10991957104557641,150.0,0.008108256177066675,0.9661016949152542,1125.5,1035.5,0.006081192132800006,1.3333333333333333,0.45588771418151675,1.0169941582580984,0.6152815013404825,best
p90,0.9,MNQ,90,0.75,12,746,0.564343163538874,1.3333333333333333,0.305626211732029,227.9971539520936,1.7552653691215856,0.5268096514745308,0.3632707774798928,0.10991957104557641,150.0,0.008108256177066675,0.9661016949152542,1125.5,1035.5,0.006081192132800006,1.3333333333333333,0.45588771418151675,1.0169941582580984,0.6152815013404825,best
