strategy_name,family,horizon_hours,threshold_label,min_entry_abs_ret_60m_slot_percentile,timing_regime,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,median_entry_abs_return,median_entry_abs_ret_60m_slot_percentile,contained_within_0_5x_shock_rate_24h,contained_within_1_0x_shock_rate_24h,median_adverse_extension_units_24h,median_favorable_extension_units_24h,contained_within_0_5x_shock_rate_72h,contained_within_1_0x_shock_rate_72h,median_adverse_extension_units_72h,median_favorable_extension_units_72h
fade_debit_24h,debit_spread_proxy,24,p80,0.8,delayed,6057,0.52781905233614,0.10588235294116043,0.06414610925293941,388.532983745054,1.1949966567728345,0.009570044022202517,0.9830508474576272,0.3859996698035331,0.6014528644543503,0.7407407407407393,0.9166666666666656,,,,
fade_debit_24h,debit_spread_proxy,24,p90,0.9,immediate,1256,0.5334394904458599,0.18364001338240027,0.05131159339989646,64.44736131026995,1.1348030574135475,0.00907993009783531,0.9538461538461539,0.29856687898089174,0.47611464968152867,1.0841503267974275,1.1815250911129742,,,,
fade_debit_24h,debit_spread_proxy,24,p90,0.9,delayed,4874,0.5170291341813705,0.07982261640797704,0.04690770187679599,228.6281389475037,1.1434050592531968,0.012151067323481146,0.9846153846153847,0.4140336479277801,0.6473122691834222,0.689320388349517,0.8135593220338992,,,,
fade_debit_72h,debit_spread_proxy,72,all,0.0,immediate,10798,0.5004630487127246,0.021583850931683142,0.007596688237527368,82.02903958882052,1.0161376208219703,0.0018596126247591438,0.532258064516129,,,,,0.10446378959066493,0.16651231709575848,6.05572755417951,6.141048824592827
fade_debit_72h,debit_spread_proxy,72,all,0.0,delayed,8242,0.4898082989565639,-0.03988095238094321,0.0032231771744378242,26.565426271716547,1.0075428237455286,0.006528189910979254,0.9491525423728814,,,,,0.16901237563698132,0.29652996845425866,1.9708029197080144,2.1843971631206056
fade_debit_72h,debit_spread_proxy,72,p80,0.8,immediate,2468,0.5052674230145867,0.056243414120127164,0.0181393231518515,44.7678495387695,1.0416136030841423,0.006356549834141079,0.9,,,,,0.17949756888168558,0.2909238249594814,2.3714568459743974,2.533124318429655
fade_debit_72h,debit_spread_proxy,72,p80,0.8,delayed,6046,0.48015216672179956,-0.059829059829053184,-0.009251769893787606,-55.93620077783987,0.9776409743983483,0.009570044022202517,0.9830508474576272,,,,,0.21055243135957658,0.36172676149520344,1.4827376232015395,1.5473568281938317
fade_debit_72h,debit_spread_proxy,72,p90,0.9,immediate,1245,0.5196787148594377,0.19500000000000264,0.042223425137889875,52.56816429667289,1.102657156940651,0.009083268683734214,0.9538461538461539,,,,,0.20722891566265061,0.3461847389558233,1.8643410852713251,1.999999999999858
fade_debit_72h,debit_spread_proxy,72,p90,0.9,delayed,4866,0.4654747225647349,-0.10937500000000065,-0.03156276141778963,-153.58439705896433,0.9240579133043181,0.012151067323481146,0.9846153846153847,,,,,0.22893547061241265,0.4005343197698315,1.3255813953488291,1.3356164383561688
follow_debit_24h,debit_spread_proxy,24,all,0.0,immediate,10875,0.4921379310344828,-0.058441558441578334,-0.009022688669859091,-98.12173928471762,0.9805471535011101,0.0018589179140984236,0.532258064516129,0.1628505747126437,0.24901149425287356,3.4285714285714026,3.535714285714304,,,,
follow_debit_24h,debit_spread_proxy,24,all,0.0,delayed,8266,0.46503750302443747,-0.13498622589531947,-0.06557945524809451,-542.0797770807492,0.8453699571900337,0.0065115948971805615,0.9491525423728814,0.307161867892572,0.4974594725381079,1.0156250000000053,1.2800000000000011,,,,
follow_debit_24h,debit_spread_proxy,24,p80,0.8,immediate,2488,0.4782958199356913,-0.1125374812593648,-0.026745942585949124,-66.54390515384142,0.9381797590817509,0.006354970640272906,0.9,0.2684887459807074,0.422427652733119,1.3189269746646923,1.386954724261481,,,,
follow_debit_24h,debit_spread_proxy,24,p80,0.8,delayed,6057,0.4635958395245171,-0.10588235294116043,-0.06414610925293941,-388.532983745054,0.8368224248430657,0.009570044022202517,0.9830508474576272,0.3859996698035331,0.6014528644543503,0.7407407407407393,0.9166666666666656,,,,
follow_debit_24h,debit_spread_proxy,24,p90,0.9,immediate,1256,0.4625796178343949,-0.18364001338240027,-0.05131159339989646,-64.44736131026995,0.881210174282759,0.00907993009783531,0.9538461538461539,0.29856687898089174,0.47611464968152867,1.0841503267974275,1.1815250911129742,,,,
follow_debit_24h,debit_spread_proxy,24,p90,0.9,delayed,4874,0.4731226918342224,-0.07982261640797704,-0.04690770187679599,-228.6281389475037,0.8745807025317341,0.012151067323481146,0.9846153846153847,0.4140336479277801,0.6473122691834222,0.689320388349517,0.8135593220338992,,,,
long_straddle_24h,long_vol_proxy,24,all,0.0,immediate,10875,0.8436781609195402,3.8282828282828136,2.933860273819235,31905.73047778418,37.05333756650067,0.0018589179140984236,0.532258064516129,0.1628505747126437,0.24901149425287356,3.4285714285714026,3.535714285714304,,,,
long_straddle_24h,long_vol_proxy,24,all,0.0,delayed,8266,0.5835954512460683,0.30303030303023126,1.1899055006378199,9835.75886827222,6.474141848656379,0.0065115948971805615,0.9491525423728814,0.307161867892572,0.4974594725381079,1.0156250000000053,1.2800000000000011,,,,
long_straddle_24h,long_vol_proxy,24,p80,0.8,immediate,2488,0.6917202572347267,0.9110671936759062,1.546740559750656,3848.2905126596324,10.579425444826953,0.006354970640272906,0.9,0.2684887459807074,0.422427652733119,1.3189269746646923,1.386954724261481,,,,
long_straddle_24h,long_vol_proxy,24,p80,0.8,delayed,6057,0.4718507511969622,-0.051612903225830564,0.4639096744134761,2809.9008979224245,2.6691373187501437,0.009570044022202517,0.9830508474576272,0.3859996698035331,0.6014528644543503,0.7407407407407393,0.9166666666666656,,,,
long_straddle_24h,long_vol_proxy,24,p90,0.9,immediate,1256,0.6472929936305732,0.6764832561645266,1.2132577115539556,1523.8516857117681,7.473951054930852,0.00907993009783531,0.9538461538461539,0.29856687898089174,0.47611464968152867,1.0841503267974275,1.1815250911129742,,,,
long_straddle_24h,long_vol_proxy,24,p90,0.9,delayed,4874,0.44501436192039395,-0.1330409356725104,0.3083046240734088,1502.6767377337944,2.0314862178606146,0.012151067323481146,0.9846153846153847,0.4140336479277801,0.6473122691834222,0.689320388349517,0.8135593220338992,,,,
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,10798,0.8957214298944249,5.0,3.466168624584834,37427.68880826704,69.07714657684697,0.0018596126247591438,0.532258064516129,,,,,0.10446378959066493,0.16651231709575848,6.05572755417951,6.141048824592827
long_straddle_72h,long_vol_proxy,72,all,0.0,delayed,8242,0.7183935937879156,1.2305630026809675,1.8677103345234332,15393.668577142136,14.139682690544237,0.006528189910979254,0.9491525423728814,,,,,0.16901237563698132,0.29652996845425866,1.9708029197080144,2.1843971631206056
long_straddle_72h,long_vol_proxy,72,p80,0.8,immediate,2468,0.7836304700162074,1.926950172921731,2.2386439275342886,5524.973213154624,21.339676272708623,0.006356549834141079,0.9,,,,,0.17949756888168558,0.2909238249594814,2.3714568459743974,2.533124318429655
long_straddle_72h,long_vol_proxy,72,p80,0.8,delayed,6046,0.64455838570956,0.5338753387533817,1.1337289892308742,6854.525468889866,7.2400083995388,0.009570044022202517,0.9830508474576272,,,,,0.21055243135957658,0.36172676149520344,1.4827376232015395,1.5473568281938317
long_straddle_72h,long_vol_proxy,72,p90,0.9,immediate,1245,0.7309236947791165,1.4523809523812616,1.9420024157860276,2417.7930076536045,15.367523275772498,0.009083268683734214,0.9538461538461539,,,,,0.20722891566265061,0.3461847389558233,1.8643410852713251,1.999999999999858
long_straddle_72h,long_vol_proxy,72,p90,0.9,delayed,4866,0.5990546650226058,0.3662461059190144,0.9046264340867042,4401.912228265903,5.51567310514499,0.012151067323481146,0.9846153846153847,,,,,0.22893547061241265,0.4005343197698315,1.3255813953488291,1.3356164383561688
