strategy_name,family,horizon_hours,threshold_label,min_entry_abs_ret_60m_slot_percentile,timing_regime,symbol,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,median_entry_abs_return,median_entry_abs_ret_60m_slot_percentile,contained_within_0_5x_shock_rate_24h,contained_within_1_0x_shock_rate_24h,median_adverse_extension_units_24h,median_favorable_extension_units_24h,contained_within_0_5x_shock_rate_72h,contained_within_1_0x_shock_rate_72h,median_adverse_extension_units_72h,median_favorable_extension_units_72h
fade_credit_24h,credit_spread_proxy,24,p80,0.8,delayed,GLD,1094,0.7084095063985375,0.5384615384615384,0.12370168777301527,135.3296464236787,1.5302017813283593,0.007011035306693447,0.9830508474576272,0.33089579524680074,0.56672760511883,0.8026666666666719,0.7572815533980585,,,,
fade_credit_24h,credit_spread_proxy,24,p80,0.8,delayed,QQQ,1063,0.8767638758231421,0.5384615384615384,0.3298970877069969,350.6806042325377,4.073666402734498,0.005828751287182632,1.0,0.4233301975540922,0.6312323612417686,0.7253886010363354,1.0250000000000496,,,,
fade_credit_24h,credit_spread_proxy,24,p80,0.8,delayed,SLV,988,0.7621457489878543,0.5384615384615384,0.19473799732360408,192.40114135572082,2.0394081900902683,0.013603125233717483,0.9830508474576272,0.37044534412955465,0.6143724696356275,0.7380073800737986,0.7380952380952236,,,,
fade_credit_24h,credit_spread_proxy,24,p80,0.8,delayed,SPY,1055,0.833175355450237,0.5384615384615384,0.30588470425531195,322.7083629893541,3.3450851374563397,0.004530969174306287,0.9836065573770492,0.442654028436019,0.6426540284360189,0.6761904761904892,1.0617760617760488,,,,
fade_credit_24h,credit_spread_proxy,24,p80,0.8,delayed,UNG,1127,0.6512866015971606,0.5384615384615384,0.058464209272514396,65.88916385012372,1.2194916832032228,0.019618834080717518,1.0,0.3105590062111801,0.5385980479148181,0.9473684210526281,0.9411764705882365,,,,
fade_credit_24h,credit_spread_proxy,24,p80,0.8,delayed,USO,730,0.7561643835616438,0.5384615384615384,0.21790895668078109,159.0735383769702,2.2526651754734432,0.013895781637716986,0.9649122807017544,0.46986301369863015,0.6301369863013698,0.5185185185185228,0.8545454545454569,,,,
fade_credit_24h,credit_spread_proxy,24,p90,0.9,immediate,GLD,199,0.7135678391959799,0.5384615384615384,0.11349376353127302,22.585258942723332,1.4452298933281795,0.006390664073353758,0.953125,0.32663316582914576,0.5226130653266332,0.9583333333333348,1.1366906474820084,,,,
fade_credit_24h,credit_spread_proxy,24,p90,0.9,immediate,QQQ,211,0.6777251184834123,0.5384615384615384,0.06241072827944823,13.168663666963576,1.2142425764511093,0.00749547253336913,0.9538461538461539,0.26066350710900477,0.46919431279620855,1.0952380952380025,1.1572327044025148,,,,
fade_credit_24h,credit_spread_proxy,24,p90,0.9,immediate,SLV,183,0.6229508196721312,0.5384615384615384,-0.0107346972587469,-1.964449598350683,0.9670899654794071,0.013687853996224186,0.9538461538461539,0.28415300546448086,0.4098360655737705,1.2758620689655245,0.9677419354838769,,,,
fade_credit_24h,credit_spread_proxy,24,p90,0.9,immediate,SPY,221,0.6742081447963801,0.5384615384615384,0.06281553406613188,13.882233028615145,1.2167591211994453,0.005500671486652786,0.9538461538461539,0.28054298642533937,0.43891402714932126,1.1741573033706836,1.1589537223340072,,,,
fade_credit_24h,credit_spread_proxy,24,p90,0.9,immediate,UNG,223,0.6816143497757847,0.5384615384615384,0.06528243461037302,14.557982918113183,1.224505646585785,0.01660735468564667,0.9538461538461539,0.3273542600896861,0.5022421524663677,1.0000000000000273,1.261538461538458,,,,
fade_credit_24h,credit_spread_proxy,24,p90,0.9,immediate,USO,219,0.6757990867579908,0.5384615384615384,0.04378363127872901,9.588615250041652,1.141656764273103,0.01160365058670143,0.9516129032258065,0.3105022831050228,0.5068493150684932,0.9712230215827395,1.318181818181821,,,,
