strategy_name,family,horizon_hours,threshold_label,min_entry_abs_ret_60m_slot_percentile,timing_regime,event_day_bucket,symbol,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,median_entry_abs_return,median_entry_abs_ret_60m_slot_percentile,contained_within_0_5x_shock_rate_24h,contained_within_1_0x_shock_rate_24h,median_adverse_extension_units_24h,median_favorable_extension_units_24h,contained_within_0_5x_shock_rate_72h,contained_within_1_0x_shock_rate_72h,median_adverse_extension_units_72h,median_favorable_extension_units_72h
follow_debit_24h,debit_spread_proxy,24,p90,0.9,immediate,weekday,UNG,223,0.4484304932735426,-0.23684210526316052,-0.07458198445074825,-16.63178253251686,0.8329912451651145,0.01660735468564667,0.9538461538461539,0.3273542600896861,0.5022421524663677,1.0000000000000273,1.261538461538458,,,,
follow_debit_24h,debit_spread_proxy,24,p90,0.9,immediate,weekday,USO,219,0.45662100456621,-0.2042253521126752,-0.058425854283628675,-12.79526208811468,0.8649963841257813,0.01160365058670143,0.9516129032258065,0.3105022831050228,0.5068493150684932,0.9712230215827395,1.318181818181821,,,,
follow_debit_24h,debit_spread_proxy,24,p90,0.9,delayed,weekday,GLD,344,0.5261627906976745,0.06879558446679032,0.09991710183087878,34.3714830298223,1.3382104236688912,0.007767057922050791,0.9833333333333333,0.26453488372093026,0.49709302325581395,1.0088105726871914,0.6671442215854833,,,,
follow_debit_24h,debit_spread_proxy,24,p90,0.9,delayed,weekday,QQQ,300,0.43666666666666665,-0.10588235294116043,-0.052194560236558454,-15.658368070967537,0.8487662406950541,0.005965432735715259,1.0,0.4066666666666667,0.5933333333333334,0.7684324226819577,0.8938992042440104,,,,
follow_debit_24h,debit_spread_proxy,24,p90,0.9,delayed,weekday,SLV,349,0.49283667621776506,-0.028985507246381437,-0.005568346396565896,-1.9433528924014976,0.9837633496475553,0.015575620767494303,0.9836065573770492,0.35816618911174786,0.6361031518624641,0.7647058823529405,0.5476190476190465,,,,
follow_debit_24h,debit_spread_proxy,24,p90,0.9,delayed,weekday,SPY,316,0.5063291139240507,0.04091653027823269,-0.050654256644794025,-16.006745099754912,0.8663355658696384,0.0048065741530352035,0.9842431761786601,0.43354430379746833,0.5854430379746836,0.6979472140762515,1.0617760617760488,,,,
follow_debit_24h,debit_spread_proxy,24,p90,0.9,delayed,weekday,UNG,417,0.4940047961630695,0.0,-0.01826815679164117,-7.617821382114368,0.9574283982657008,0.014705882352941124,0.9818181818181818,0.2446043165467626,0.5179856115107914,0.9999999999999988,1.2857142857142785,,,,
follow_debit_24h,debit_spread_proxy,24,p90,0.9,delayed,weekday,USO,201,0.417910447761194,-0.2615384615384638,-0.12047953642152158,-24.216386820725837,0.7024048523514218,0.017285714285714238,0.9830508474576272,0.43781094527363185,0.6567164179104478,0.573529411764701,0.8000000000000022,,,,
follow_debit_24h,debit_spread_proxy,24,p90,0.9,delayed,weekend,GLD,434,0.5967741935483871,0.16397515527950202,0.12298613526975992,53.375982707075806,1.4443643637636774,0.013880126182965302,0.9830508474576272,0.4078341013824885,0.6797235023041475,0.5814606741573011,0.28378378378378866,,,,
follow_debit_24h,debit_spread_proxy,24,p90,0.9,delayed,weekend,QQQ,547,0.3290676416819013,-0.3866739486619368,-0.26967418466044385,-147.5117790092628,0.40282123281687005,0.008865450864503965,1.0,0.5301645338208409,0.7952468007312614,0.48195876288659967,0.9063829787233936,,,,
follow_debit_24h,debit_spread_proxy,24,p90,0.9,delayed,weekend,SLV,466,0.5042918454935622,0.03554502369668045,-0.0729794693295018,-34.00843270754784,0.823883430840861,0.017108352901710755,0.9830508474576272,0.4206008583690987,0.6394849785407726,0.7122302158273393,0.7256637168141579,,,,
follow_debit_24h,debit_spread_proxy,24,p90,0.9,delayed,weekend,SPY,491,0.40122199592668023,-0.32903225806450787,-0.2480015003902835,-121.7687366916292,0.42897123563714196,0.007213692793653026,1.0,0.539714867617108,0.8126272912423625,0.44105691056912416,0.8369304556355021,,,,
follow_debit_24h,debit_spread_proxy,24,p90,0.9,delayed,weekend,UNG,627,0.543859649122807,0.20754716981131924,0.10924400210775669,68.49598932156344,1.3287603940526929,0.030320366132723153,1.0,0.3365231259968102,0.5614035087719298,0.7924528301886774,0.7254901960784337,,,,
follow_debit_24h,debit_spread_proxy,24,p90,0.9,delayed,weekend,USO,382,0.418848167539267,-0.1333333333333523,-0.04225123385225468,-16.139971331561288,0.8814660565144169,0.014733969986357454,0.9672131147540983,0.5602094240837696,0.7120418848167539,0.4705882352941141,0.7929515418502194,,,,
long_straddle_24h,long_vol_proxy,24,all,0.0,immediate,weekday,GLD,1846,0.8401950162513543,4.319395557713177,3.041024897689929,5613.731961135609,35.805494348583956,0.0013186994389050577,0.5076923076923077,0.1635969664138678,0.24972914409534128,3.8000000000002423,3.855400696864265,,,,
long_straddle_24h,long_vol_proxy,24,all,0.0,immediate,weekday,QQQ,1852,0.8455723542116631,3.604568854568478,2.9233629850865643,5414.0682483803175,37.68972333402606,0.0012803428358164615,0.5230769230769231,0.14578833693304535,0.23110151187904968,3.675757575757641,3.6825757575756244,,,,
long_straddle_24h,long_vol_proxy,24,all,0.0,immediate,weekday,SLV,1776,0.8507882882882883,4.399999999999688,3.0715131981076063,5455.007439839109,40.972111915202944,0.002266111473023802,0.515625,0.16835585585585586,0.268018018018018,3.4722222222219514,3.666666666666509,,,,
long_straddle_24h,long_vol_proxy,24,all,0.0,immediate,weekday,SPY,1850,0.8394594594594594,3.293953687822015,2.858157619080341,5287.591595298631,35.82441535465105,0.0010000427019387081,0.5254237288135594,0.1535135135135135,0.22054054054054054,3.421580671580413,3.552882072977643,,,,
long_straddle_24h,long_vol_proxy,24,all,0.0,immediate,weekday,UNG,1760,0.8363636363636363,3.2857142857143264,2.8137420517782057,4952.186011129642,34.648366706304486,0.004659108669603285,0.5806451612903226,0.17727272727272728,0.2676136363636364,2.9999999999999876,3.285714285714266,,,,
long_straddle_24h,long_vol_proxy,24,all,0.0,immediate,weekday,USO,1791,0.8498045784477946,3.7826086956521285,2.893995098827955,5183.145222000868,37.8576276164396,0.0025544703230653276,0.5538461538461539,0.16973757677275264,0.25907314349525407,3.181818181818211,3.26829268292683,,,,
