strategy_name,family,horizon_hours,threshold_label,min_entry_abs_ret_60m_slot_percentile,timing_regime,topic_bucket,symbol,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,median_entry_abs_return,median_entry_abs_ret_60m_slot_percentile,contained_within_0_5x_shock_rate_24h,contained_within_1_0x_shock_rate_24h,median_adverse_extension_units_24h,median_favorable_extension_units_24h,contained_within_0_5x_shock_rate_72h,contained_within_1_0x_shock_rate_72h,median_adverse_extension_units_72h,median_favorable_extension_units_72h
long_straddle_24h,long_vol_proxy,24,p90,0.9,delayed,other,UNG,805,0.5167701863354037,0.12068965517241437,0.6428470383184063,517.4918658463171,4.01243063530114,0.02376811594202899,1.0,0.3142857142857143,0.5577639751552795,0.8490566037735817,0.8888888888888882,,,,
long_straddle_24h,long_vol_proxy,24,p90,0.9,delayed,other,USO,435,0.4160919540229885,-0.15384615384615108,0.03313104718444509,14.412005525233614,1.1040712322312243,0.015108451757666508,0.9672131147540983,0.5103448275862069,0.6827586206896552,0.48198198198197917,0.7929515418502194,,,,
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,tariffs_trade,GLD,95,0.8631578947368421,5.0,3.3917593303240325,322.2171363807831,47.72916474224787,0.0014781774331578124,0.5692307692307692,,,,,0.1368421052631579,0.2,5.074074074074091,6.487804878048446
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,tariffs_trade,QQQ,95,0.8631578947368421,4.882113821138136,3.208269267094836,304.78558037400944,58.59573716285017,0.0020180194871376456,0.6307692307692307,,,,,0.1368421052631579,0.18947368421052632,6.642857142855142,4.2703081232492925
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,tariffs_trade,SLV,93,0.8172043010752689,5.0,3.2513141212306556,302.372213274451,48.723961604034635,0.0024227740763174133,0.4838709677419355,,,,,0.13978494623655913,0.23655913978494625,5.523809523809298,6.44444444444426
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,tariffs_trade,SPY,95,0.8842105263157894,4.367088607594423,3.1343923969220104,297.767277707591,47.62385564941822,0.0016038874420376548,0.6721311475409836,,,,,0.15789473684210525,0.24210526315789474,5.406976744186032,4.095238095239126
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,tariffs_trade,UNG,91,0.8901098901098901,5.0,3.4127372708095725,310.5590916436711,93.23611244329115,0.004773269689737347,0.5901639344262295,,,,,0.13186813186813187,0.2087912087912088,4.666666666666673,5.647058823529419
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,tariffs_trade,USO,90,0.8333333333333334,4.152777777777715,3.1524598087364737,283.7213827862826,34.83701696210371,0.0031529816916597286,0.6229508196721312,,,,,0.1,0.2,4.729166666666542,6.533251231527037
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,war_geopolitics,GLD,152,0.9013157894736842,5.0,3.544810725161929,538.8112302246133,120.80406689072073,0.001364467701693295,0.49230769230769234,,,,,0.09210526315789473,0.17763157894736842,6.656666666666588,7.2471014492753625
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,war_geopolitics,QQQ,153,0.9019607843137255,5.0,3.5321154042480236,540.4136568499476,75.73779835704143,0.0015692497575596764,0.5538461538461539,,,,,0.0718954248366013,0.13725490196078433,6.627118644067875,5.515068493150718
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,war_geopolitics,SLV,148,0.8648648648648649,5.0,3.2790416201555086,485.29815978301525,46.25558293551269,0.0029949425953523234,0.5668734491315137,,,,,0.10135135135135136,0.1891891891891892,5.617346938775604,6.276836158192291
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,war_geopolitics,SPY,153,0.8954248366013072,5.0,3.454460906958765,528.5325187646911,70.77028527547563,0.0013456013383278398,0.5806451612903226,,,,,0.058823529411764705,0.12418300653594772,6.171428571428662,5.776315789473736
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,war_geopolitics,UNG,144,0.8194444444444444,5.0,3.0499119141606768,439.18731563913747,31.92617919647041,0.004250127571564288,0.5397225725094578,,,,,0.125,0.19444444444444445,5.345238095238125,6.450000000000116
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,war_geopolitics,USO,147,0.8367346938775511,5.0,3.184712715676493,468.15276920444444,33.594937462823154,0.00347222222222221,0.6307692307692307,,,,,0.14965986394557823,0.21768707482993196,5.148648648648687,4.92647058823534
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,oil_gas_energy,GLD,23,1.0,5.0,4.259030992735923,97.95771283292623,inf,0.0010498815831236907,0.38461538461538464,,,,,0.13043478260869565,0.17391304347826086,3.65217391304343,8.347826086956385
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,oil_gas_energy,QQQ,23,0.8695652173913043,5.0,3.3135880414545333,76.21252495345426,41.01228065652078,0.0010894991508316743,0.43548387096774194,,,,,0.13043478260869565,0.17391304347826086,8.185258964143358,5.799999999998712
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,oil_gas_energy,SLV,24,0.9166666666666666,3.857142857142717,3.003548324860116,72.08515979664278,58.66812783731627,0.0015431483169972005,0.4587641866330391,,,,,0.16666666666666666,0.25,5.750000000000089,9.49999999999849
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,oil_gas_energy,SPY,24,0.9166666666666666,4.958904109588962,3.4008623888325835,81.620697331982,93.86925119737752,0.0013682420137902662,0.6299007444168734,,,,,0.08333333333333333,0.16666666666666666,6.938814134972202,6.086512168444096
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,oil_gas_energy,UNG,23,0.8695652173913043,5.0,3.756213209921643,86.39290382819779,77.79369229172798,0.005123825789923098,0.7538461538461538,,,,,0.17391304347826086,0.21739130434782608,4.399999999999915,7.599999999999907
